key,en,cs,target,notes,status
examiner.worklist.emptyHelper,"Ask the Centre to assign this Examiner as primary or secondary, save Centre Setup, then reopen the Examiner QR session.","Požádejte Centrum, aby zkoušejícího přiřadilo jako primary nebo secondary, uložilo Centre Setup a znovu otevřelo Examiner QR session.","Ask the Centre to assign this Examiner as primary or secondary, spremi Centre Setup, then reopen the Examiner QR session.","Protected term(s): Examiner, Centre, primary, secondary, Centre Setup, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.worklist.primaryCheckbox,I am the primary examiner for this candidate,Jsem primary examiner pro tohoto kandidáta,I am the primary ispitivac for this kandidat,Protected term(s): primary. Do not translate unless explicitly approved during review.,needs_review
examiner.worklist.openOutdoor,Open outdoor form,Otevřít outdoor formulář,otvori outdoor form,Target intentionally blank for reviewer translation.,needs_review
examiner.role.primary,primary,primary,primary,Protected term(s): primary. Do not translate unless explicitly approved during review.,needs_review
examiner.role.secondary,secondary,secondary,secondary,Protected term(s): secondary. Do not translate unless explicitly approved during review.,needs_review
outdoor.backToLanding,Back to landing,Zpět na úvodní stránku,Back to landing,Target intentionally blank for reviewer translation.,needs_review
outdoor.candidateBinding,Candidate binding,Vazba na kandidáta,Candidate binding,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
outdoor.activeRecord,Active record,Aktivní záznam,Active record,Target intentionally blank for reviewer translation.,needs_review
outdoor.level,Level,Úroveň,razina,Target intentionally blank for reviewer translation.,needs_review
outdoor.total,Outdoor total,Outdoor celkem,outdoor ukupno,Target intentionally blank for reviewer translation.,needs_review
outdoor.paperArchive.title,Paper management plan archive,Archiv papírového management plánu,Paper management plan archive,Target intentionally blank for reviewer translation.,needs_review
outdoor.paperArchive.helper,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,Kandidát připravuje tuto část na papíře. Zkoušející ji vyfotí jako pilot/archive placeholder.,Candidate prepares this on paper. Examiner photographs it as a pilot/archive placeholder.,"Protected term(s): Candidate, Examiner, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
outdoor.paperArchive.button,Photograph paper plan,Vyfotit papírový plán,Photograph paper plan,Target intentionally blank for reviewer translation.,needs_review
outdoor.paperArchive.photos,Archived photos,Archivované fotografie,Archived fotografije,Target intentionally blank for reviewer translation.,needs_review
outdoor.points,points,bodů,bodovi,Target intentionally blank for reviewer translation.,needs_review
outdoor.detail.title,Outdoor form detail,Detail outdoor formuláře,outdoor form detalj,Target intentionally blank for reviewer translation.,needs_review
outdoor.detail.helper,Jump between sections freely. Each question includes Notes / marking guidance.,Mezi sekcemi lze volně přepínat. Každá otázka obsahuje poznámky / hodnoticí vodítko.,Jump between odjeljci freely. Each question includes Notes / marking guidance.,Target intentionally blank for reviewer translation.,needs_review
outdoor.notesGuidance,Notes / marking guidance,Poznámky / hodnoticí vodítko,Notes / marking guidance,Target intentionally blank for reviewer translation.,needs_review
outdoor.pointsLabel,Points,Body,bodovi,Target intentionally blank for reviewer translation.,needs_review
outdoor.examinerNotes,Examiner notes / justification,Poznámky zkoušejícího / zdůvodnění,Examiner notes / justification,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
outdoor.submit,Submit and close outdoor form,Odeslat a uzavřít outdoor formulář,posalji and zatvori outdoor form,Target intentionally blank for reviewer translation.,needs_review
outdoor.mode.primary,primary - full form required,primary - vyžaduje celý formulář,primary - full form potrebno,Protected term(s): primary. Do not translate unless explicitly approved during review.,needs_review
outdoor.mode.secondary,secondary - optional input,secondary - volitelný vstup,secondary - opcionalno input,Protected term(s): secondary. Do not translate unless explicitly approved during review.,needs_review
outdoor.mode.unassigned,unassigned,nepřiřazeno,nedodijeljeno,Target intentionally blank for reviewer translation.,needs_review
outdoor.autosave,autosave to sync queue,automatické ukládání do sync queue,autosave to sync queue,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
scoring.title,Examiner / Candidate scoring and evaluation,Zkoušející / skórování a vyhodnocení kandidáta,Examiner / Candidate scoring and evaluation,"Protected term(s): Candidate, Examiner. Do not translate unless explicitly approved during review.",needs_review
scoring.subtitle,Scoring engine uses the candidate level.,Skórovací engine používá úroveň kandidáta.,Scoring engine uses the kandidat razina.,Target intentionally blank for reviewer translation.,needs_review
scoring.status,Status,Stav,status,Target intentionally blank for reviewer translation.,needs_review
scoring.written,Written,Písemný test,pismeno,Target intentionally blank for reviewer translation.,needs_review
scoring.outdoor,Outdoor,Outdoor,outdoor,Target intentionally blank for reviewer translation.,needs_review
scoring.report,Report,Report,izvjestaj,Target intentionally blank for reviewer translation.,needs_review
scoring.total,Total,Celkem,ukupno,Target intentionally blank for reviewer translation.,needs_review
scoring.percentage,Percentage,Procenta,postotak,Target intentionally blank for reviewer translation.,needs_review
scoring.result,Result,Výsledek,rezultat,Target intentionally blank for reviewer translation.,needs_review
scoring.pass,PASS,PASS,PASS,Protected term(s): PASS. Do not translate unless explicitly approved during review.,needs_review
scoring.notPassed,NOT PASSED,NOT PASSED,NOT PASSED,"Protected term(s): PASS, NOT PASSED. Do not translate unless explicitly approved during review.",needs_review
scoring.generate,Generate Evaluation,Vygenerovat vyhodnocení,Generate Evaluation,Target intentionally blank for reviewer translation.,needs_review
scoring.loadPreview,Load Evaluation Preview,Načíst náhled vyhodnocení,ucitaj Pretpregled evaluacije,Target intentionally blank for reviewer translation.,needs_review
scoring.loading,Loading...,Načítám...,Loading...,Target intentionally blank for reviewer translation.,needs_review
scoring.downloadDraftExport,Download Draft Export (.xls),Stáhnout pracovní export (.xls),preuzmi Draft Export (.xls),Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
scoring.exporting,Exporting...,Exportuji...,Exporting...,Target intentionally blank for reviewer translation.,needs_review
scoring.draftOnly,Draft Export only — not the official VETcert evaluation template.,Pouze pracovní export — nejde o oficiální šablonu vyhodnocení VETcert.,Draft Export only — not the official VETcert evaluation template.,Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
scoring.lastGenerated,Last generated evaluation,Poslední vygenerované vyhodnocení,Last generated evaluation,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.title,Evaluation preview,Náhled vyhodnocení,Pretpregled evaluacije,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.helper,Backend-loaded preview of the current Candidate evaluation data.,Backendový náhled aktuálních dat vyhodnocení kandidáta.,backend-ucitano pretpregled of the current Candidate evaluation data.,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
evaluation.preview.summary,Summary,Souhrn,sazetak,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.written,Written,Písemný test,pismeno,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.outdoor,Outdoor,Outdoor,outdoor,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.report,Report,Report,izvjestaj,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.total,Total,Celkem,ukupno,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.percentage,Percentage,Procenta,postotak,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.result,Result,Výsledek,rezultat,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.outdoorScores,Outdoor scores,Outdoor skóre,outdoor scores,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.reportSummary,Report summary,Souhrn reportu,izvjestaj sazetak,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.hasReportDraft,Report draft,Návrh reportu,izvjestaj nacrt,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.treesWithContent,Trees with content,Stromy s obsahem,Trees with content,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.fieldNotesFilled,Field notes filled,Vyplněné terénní poznámky,Field notes filled,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.finalSectionsFilled,Final sections filled,Vyplněné finální sekce,Final odjeljci filled,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.photoPlaceholders,Photo placeholders,Foto placeholders,Photo placeholders,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.submitted,Submitted,Odesláno,Submitted,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.primaryScores,Primary scores,Primary skóre,Primary scores,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.secondaryScores,Secondary scores,Secondary skóre,Secondary scores,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.yes,yes,ano,da,Target intentionally blank for reviewer translation.,needs_review
evaluation.preview.no,no,ne,ne,Target intentionally blank for reviewer translation.,needs_review
centre.access.title,Certification centre / Open delegated workspace,Certifikační centrum / otevření delegovaného pracovního prostoru,Certification centre / otvori delegated workspace,Target intentionally blank for reviewer translation.,needs_review
centre.access.subtitle,Open workspace using Centre QR received from Admin.,Otevřete pracovní prostor pomocí Centre QR získaného od Admina.,otvori workspace using Centre QR received from Admin.,"Protected term(s): Centre, Admin, Centre QR. Do not translate unless explicitly approved during review.",needs_review
centre.access.placeholder,Paste centre token,Vložte token centra,Paste centre token,Target intentionally blank for reviewer translation.,needs_review
centre.access.open,Open centre workspace,Otevřít pracovní prostor centra,otvori centre workspace,Target intentionally blank for reviewer translation.,needs_review
centre.access.prototypeToken,Prototype token,Prototypový token,Prototype token,Target intentionally blank for reviewer translation.,needs_review
centre.config.title,"Centre / Configure levels, variants, candidates and examiners","Centrum / nastavení úrovní, variant, kandidátů a zkoušejících","Centre / Configure razine, varijante, kandidati and ispitivaci",Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
centre.config.subtitle,"One exam can contain Practicing, Consulting or both. Each candidate has primary and secondary examiner.","Jedna zkouška může obsahovat úroveň Practicing, Consulting nebo obě. Každý kandidát má primary a secondary examiner.","One exam can contain Practicing, Consulting or both. Each kandidat has primary and secondary ispitivac.","Protected term(s): Practicing, Consulting, primary, secondary. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.title,Centre Setup persistence,Ukládání Centre Setup,Centre Setup persistence,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.helper,Load or save the current Centre Setup through the backend. Returned Candidate QR and Examiner QR links are shown in the QR access pack below.,Načtěte nebo uložte aktuální Centre Setup přes backend. Vrácené Candidate QR a Examiner QR odkazy se zobrazí níže v QR access packu.,ucitaj or spremi the current Centre Setup through the backend. Returned Candidate QR and Examiner QR links are prikazano in the QR access pack below.,"Protected term(s): Candidate, Examiner, Centre, Centre Setup, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.load,Load Centre Setup,Načíst Centre Setup,ucitaj Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.loading,Loading...,Načítám...,Loading...,Target intentionally blank for reviewer translation.,needs_review
centre.setupPersistence.save,Save Centre Setup,Uložit Centre Setup,spremi Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.saving,Saving...,Ukládám...,Saving...,Target intentionally blank for reviewer translation.,needs_review
centre.setupPersistence.auditExport,Download Centre Audit Package (.xls),Stáhnout Centre Audit Package (.xls),preuzmi Centre Audit Package (.xls),"Protected term(s): Centre, Centre Audit Package. Do not translate unless explicitly approved during review.",needs_review
centre.setupPersistence.exporting,Exporting...,Exportuji...,Exporting...,Target intentionally blank for reviewer translation.,needs_review
centre.setupPersistence.unsaved,Unsaved local changes,Neuložené lokální změny,Unsaved lokalno changes,Target intentionally blank for reviewer translation.,needs_review
centre.setupPersistence.saved,Saved / no local changes,Uloženo / žádné lokální změny,spremljeno / ne lokalno changes,Target intentionally blank for reviewer translation.,needs_review
centre.setupPersistence.saveHelper,"Click Save Centre Setup to persist roster, examiners, assignments, variants, and imported tests.","Kliknutím na Save Centre Setup uložíte roster, zkoušející, přiřazení, varianty a importované testy.","Click spremi Centre Setup to persist roster, ispitivaci, assignments, varijante, and uvezeno tests.","Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.dataMode.title,Centre data mode,Datový režim centra,Centre data mode,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
centre.dataMode.backendHelper,This session uses backend-loaded pilot data.,Tato session používá backend-loaded pilot data.,This session uses backend-loaded pilot data.,Protected term(s): backend-loaded pilot data. Do not translate unless explicitly approved during review.,needs_review
centre.dataMode.demoHelper,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data.,Tato session používá demo fallback data pouze pro testování. Načtením Centre Setup použijete backend-loaded pilot data.,This session uses demo fallback data for testing only. ucitaj Centre Setup to use backend-loaded pilot data.,"Protected term(s): Centre, backend-loaded pilot data, demo fallback data, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.dataMode.saveAfterChanges,"Save Centre Setup after changing roster, examiners, assignments, or imported tests.","Po změně rosteru, zkoušejících, přiřazení nebo importovaných testů uložte Centre Setup.","spremi Centre Setup after changing roster, ispitivaci, assignments, or uvezeno tests.","Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.dataMode.backend,backend-loaded pilot data,backend-loaded pilot data,backend-loaded pilot data,Protected term(s): backend-loaded pilot data. Do not translate unless explicitly approved during review.,needs_review
centre.dataMode.demo,demo fallback data,demo fallback data,demo fallback data,Protected term(s): demo fallback data. Do not translate unless explicitly approved during review.,needs_review
centre.copy.copied,Copied {label} QR link,Zkopírován QR odkaz: {label},kopirano {label} QR poveznica,Preserve placeholder(s) exactly: {label}.,needs_review
centre.copy.unavailable,Copy unavailable. Select and copy {label} QR link manually.,Kopírování není dostupné. Označte a ručně zkopírujte QR odkaz: {label}.,Copy nedostupno. Select and copy {label} QR poveznica manually.,Preserve placeholder(s) exactly: {label}.,needs_review
centre.levels.title,Levels,Úrovně,razine,Target intentionally blank for reviewer translation.,needs_review
centre.variants.title,Approved test variants,Schválené testové varianty,Approved test varijante,Target intentionally blank for reviewer translation.,needs_review
centre.variants.helper,Import CSV or JSON package with real tests. The selected variant is then shown to candidates.,Importujte CSV nebo JSON balíček se skutečnými testy. Vybraná varianta se poté zobrazí kandidátům.,uvezi CSV or JSON paket with real tests. The odabrano varijanta is then prikazano to kandidati.,Target intentionally blank for reviewer translation.,needs_review
centre.variants.import,Import tests,Importovat testy,uvezi tests,Target intentionally blank for reviewer translation.,needs_review
centre.variants.noImported,No imported variant,Žádná importovaná varianta,ne uvezeno varijanta,Target intentionally blank for reviewer translation.,needs_review
centre.variants.csvHelper,"CSV columns: variantCode, level, language, questionId, type, points, text, optionA, optionB, optionC, optionD, correctAnswer. JSON format: { ""variants"": [...], ""questions"": { ""VARIANT_CODE"": [...] } }.","CSV sloupce: variantCode, level, language, questionId, type, points, text, optionA, optionB, optionC, optionD, correctAnswer. JSON formát: { ""variants"": [...], ""questions"": { ""VARIANT_CODE"": [...] } }.","CSV columns: variantCode, level, language, questionId, type, points, text, optionA, optionB, optionC, optionD, correctAnswer. JSON format: { ""variants"": [...], ""questions"": { ""VARIANT_CODE"": [...] } }.","Protected term(s): correctAnswer, variantCode, questionId, optionA, optionB, optionC, optionD, VARIANT_CODE. Do not translate unless explicitly approved during review. Import/export helper context only; preserve CSV/JSON field names exactly and do not expose correctAnswer outside this context.",needs_review
centre.variants.importedSummary,"Imported summary: {variants} variant(s), {questions} question(s).","Souhrn importu: {variants} variant(y), {questions} otázka/otázek.","uvezeno sazetak: {variants} varijanta(s), {questions} question(s).","Preserve placeholder(s) exactly: {variants}, {questions}.",needs_review
centre.candidates.title,Candidate list,Seznam kandidátů,Candidate list,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
centre.candidates.add,Add candidate,Přidat kandidáta,dodaj kandidat,Target intentionally blank for reviewer translation.,needs_review
centre.candidateDetails.title,Candidate details,Detail kandidáta,Candidate details,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
centre.candidateDetails.id,Candidate ID,ID kandidáta,Candidate ID,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
centre.candidateDetails.name,Name,Jméno,ime,Target intentionally blank for reviewer translation.,needs_review
centre.candidateDetails.level,Level,Úroveň,razina,Target intentionally blank for reviewer translation.,needs_review
centre.candidateDetails.birthDate,Birth date,Datum narození,datum rodjenja,Target intentionally blank for reviewer translation.,needs_review
centre.candidateDetails.documentId,Document ID,ID dokladu,dokument ID,Target intentionally blank for reviewer translation.,needs_review
centre.candidateDetails.email,Email,E-mail,e-posta,Target intentionally blank for reviewer translation.,needs_review
centre.examiners.title,Examiner list,Seznam zkoušejících,Examiner list,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.examiners.add,Add examiner,Přidat zkoušejícího,dodaj ispitivac,Target intentionally blank for reviewer translation.,needs_review
centre.examinerDetails.id,ID,ID,ID,Target intentionally blank for reviewer translation.,needs_review
centre.examinerDetails.name,Name,Jméno,ime,Target intentionally blank for reviewer translation.,needs_review
centre.examinerDetails.registrationId,Registration ID,Registrační ID,Registration ID,Target intentionally blank for reviewer translation.,needs_review
centre.examinerDetails.email,Email,E-mail,e-posta,Target intentionally blank for reviewer translation.,needs_review
centre.assignments.title,Examiner assignments,Přiřazení zkoušejících,Examiner assignments,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.assignments.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
centre.assignments.level,Level,Úroveň,razina,Target intentionally blank for reviewer translation.,needs_review
centre.assignments.primary,Primary Examiner,Primary Examiner,Primary Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.assignments.secondary,Secondary Examiner,Secondary Examiner,Secondary Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.workflow.title,Pilot workflow status,Stav pilotního workflow,Pilot tijek rada status,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.helper,"Pilot workflow status across setup, assignments, candidate sections, responses, report drafts and outdoor scoring.","Stav pilotního workflow napříč setupem, přiřazeními, částmi kandidáta, odpověďmi, návrhy reportů a outdoor skórováním.","Pilot tijek rada status across setup, assignments, kandidat odjeljci, odgovori, izvjestaj drafts and outdoor scoring.",Target intentionally blank for reviewer translation.,needs_review
centre.workflow.syncHelper,Use the sync queue panel to review sync status after smoke test.,Po smoke testu použijte sync queue panel pro kontrolu stavu synchronizace.,Use the sync queue panel to pregledaj sync status after smoke test.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
centre.workflow.setupIssues,Centre Setup issue(s),problém(ů) v Centre Setup,Centre Setup issue(s),"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.workflow.candidates,candidates,kandidátů,kandidati,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.examiners,examiners,zkoušejících,ispitivaci,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.assignments,assignments,přiřazení,assignments,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.testPackageImported,test package imported,testový balíček importován,test paket uvezeno,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.noTestPackage,no test package,žádný testový balíček,ne test paket,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.demoWarning,This session uses demo fallback data for testing only. Load Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,Tato session používá demo fallback data pouze pro testování. Načtěte Centre Setup pro použití backend-loaded pilot data; počty mohou do té doby odpovídat demo fallback stavu.,This session uses demo fallback data for testing only. ucitaj Centre Setup to use backend-loaded pilot data; counts may reflect demo fallback state until then.,"Protected term(s): Centre, backend-loaded pilot data, demo fallback data, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.workflow.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
centre.workflow.level,Level,Úroveň,razina,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.primaryExaminer,Primary Examiner,Primary Examiner,Primary Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.workflow.secondaryExaminer,Secondary Examiner,Secondary Examiner,Secondary Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
centre.workflow.identity,Identity,Identita,identitet,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.writtenTest,Written test,Písemný test,Pismeni test,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.report,Report,Report,izvjestaj,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.responses,Responses,Odpovědi,odgovori,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.outdoorScores,Outdoor scores,Outdoor skóre,outdoor scores,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.confirmed,confirmed,potvrzeno,potvrdjeno,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.notConfirmed,not confirmed,nepotvrzeno,not potvrdjeno,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.closedAt,Closed,Uzavřeno,Closed,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.sections,sections,sekcí,odjeljci,Target intentionally blank for reviewer translation.,needs_review
centre.workflow.photos,photos,fotografií,fotografije,Target intentionally blank for reviewer translation.,needs_review
status.centreQrRequired,"Open the Centre portal with a valid Centre QR session, then try again.",Otevřete portál Centra pomocí platné Centre QR session a zkuste to znovu.,"otvori the Centre portal with a valid Centre QR session, then try again.","Protected term(s): Centre, Centre QR. Do not translate unless explicitly approved during review.",needs_review
status.centreSetup.loadedEvent,Loaded Centre Setup for exam event {event}.,Centre Setup načten pro zkušební událost {event}.,ucitano Centre Setup for exam event {event}.,"Preserve placeholder(s) exactly: {event}. Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
status.centreSetup.savedEvent,Saved Centre Setup for exam event {event}.,Centre Setup uložen pro zkušební událost {event}.,spremljeno Centre Setup for exam event {event}.,"Preserve placeholder(s) exactly: {event}. Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
status.centreSetup.loadFailed,Centre Setup could not be loaded. Check the session and try again.,Centre Setup se nepodařilo načíst. Zkontrolujte session a zkuste to znovu.,Centre Setup could not be ucitano. Check the session and try again.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
status.centreSetup.saveFailed,Centre Setup could not be saved. Check the Centre session and try again.,Centre Setup se nepodařilo uložit. Zkontrolujte Centre session a zkuste to znovu.,Centre Setup could not be spremljeno. Check the Centre session and try again.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
status.centreAuditExport.sessionRequired,Open the Centre portal with a valid Centre QR session before downloading the Audit Package.,Před stažením Audit Package otevřete portál Centra pomocí platné Centre QR session.,otvori the Centre portal with a valid Centre QR session before downloading the Audit paket.,"Protected term(s): Centre, Centre QR. Do not translate unless explicitly approved during review.",needs_review
status.testImport.importedFull,Imported {variants} variants and {questions} questions.,Importováno: {variants} variant(y) a {questions} otázka/otázek.,uvezeno {variants} varijante and {questions} pitanja.,"Preserve placeholder(s) exactly: {variants}, {questions}.",needs_review
status.testImport.failedWithMessage,Test import failed: {message},Import testu selhal: {message},Test uvezi neuspjelo: {message},Preserve placeholder(s) exactly: {message}.,needs_review
status.testImport.fileReadFailed,Test import failed: the file could not be read.,Import testu selhal: soubor se nepodařilo přečíst.,Test uvezi neuspjelo: the datoteka could not be read.,Target intentionally blank for reviewer translation.,needs_review
status.testImport.summary,"Imported {variants} variant(s), {questions} question(s).","Importováno: {variants} variant(y), {questions} otázka/otázek.","uvezeno {variants} varijanta(s), {questions} question(s).","Preserve placeholder(s) exactly: {variants}, {questions}.",needs_review
status.evaluation.previewSessionRequired,Open this portal with a valid QR session before loading the evaluation preview.,Před načtením náhledu vyhodnocení otevřete tento portál pomocí platné QR session.,otvori this portal with a valid QR session before loading the Pretpregled evaluacije.,Target intentionally blank for reviewer translation.,needs_review
status.evaluation.previewUnavailable,Evaluation preview is unavailable. Reopen the Examiner QR session and try again.,Náhled vyhodnocení není dostupný. Znovu otevřete Examiner QR session a zkuste to znovu.,Pretpregled evaluacije is nedostupno. Reopen the Examiner QR session and try again.,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
status.export.sessionRequired,Open this portal with a valid QR session before downloading the Draft Export.,Před stažením pracovního exportu otevřete tento portál pomocí platné QR session.,otvori this portal with a valid QR session before downloading the Draft Export.,Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
status.export.unavailable,Draft Export is unavailable. Reopen the Examiner QR session and try again.,Pracovní export není dostupný. Znovu otevřete Examiner QR session a zkuste to znovu.,Draft Export is nedostupno. Reopen the Examiner QR session and try again.,"Protected term(s): Examiner, Examiner QR, Draft Export. Do not translate unless explicitly approved during review.",needs_review
auditSync.title,Sync queue / audit trail,Sync queue / auditní stopa,Sync queue / audit trail,Target intentionally blank for reviewer translation.,needs_review
auditSync.subtitle,Sync queue shows local actions waiting for backend confirmation or already recorded during this session.,Sync queue zobrazuje lokální akce čekající na potvrzení backendem nebo už zaznamenané v této session.,Sync queue shows lokalno actions waiting for backend confirmation or already recorded during this session.,Target intentionally blank for reviewer translation.,needs_review
auditSync.markAllSynced,Mark all synced,Označit vše jako synchronizované,Mark all synced,Target intentionally blank for reviewer translation.,needs_review
auditSync.queue,Sync queue,Sync queue,Sync queue,Target intentionally blank for reviewer translation.,needs_review
auditSync.audit,Audit trail,Auditní stopa,Audit trail,Target intentionally blank for reviewer translation.,needs_review
auditSync.emptyQueue,No sync queue items.,Sync queue neobsahuje žádné položky.,ne sync queue items.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
auditSync.emptyAudit,No audit entries yet.,Zatím nejsou žádné auditní záznamy.,ne audit entries yet.,Target intentionally blank for reviewer translation.,needs_review
auditSync.status,Status,Stav,status,Target intentionally blank for reviewer translation.,needs_review
auditSync.time,Time,Čas,vrijeme,Target intentionally blank for reviewer translation.,needs_review
auditSync.type,Type,Typ,vrsta,Target intentionally blank for reviewer translation.,needs_review
auditSync.detail,Detail,Detail,detalj,Target intentionally blank for reviewer translation.,needs_review
common.open,Open,Otevřít,otvori,Target intentionally blank for reviewer translation.,needs_review
common.close,Close,Zavřít,zatvori,Target intentionally blank for reviewer translation.,needs_review
common.save,Save,Uložit,spremi,Target intentionally blank for reviewer translation.,needs_review
common.load,Load,Načíst,ucitaj,Target intentionally blank for reviewer translation.,needs_review
common.download,Download,Stáhnout,preuzmi,Target intentionally blank for reviewer translation.,needs_review
common.import,Import,Importovat,uvezi,Target intentionally blank for reviewer translation.,needs_review
common.export,Export,Exportovat,izvezi,Target intentionally blank for reviewer translation.,needs_review
common.submit,Submit,Odeslat,posalji,Target intentionally blank for reviewer translation.,needs_review
common.confirm,Confirm,Potvrdit,potvrdi,Target intentionally blank for reviewer translation.,needs_review
common.add,Add,Přidat,dodaj,Target intentionally blank for reviewer translation.,needs_review
common.cancel,Cancel,Zrušit,odustani,Target intentionally blank for reviewer translation.,needs_review
common.review,Review,Zkontrolovat,pregledaj,Target intentionally blank for reviewer translation.,needs_review
common.ready,Ready,Připraveno,spremno,Target intentionally blank for reviewer translation.,needs_review
common.missing,Missing,Chybí,nedostaje,Target intentionally blank for reviewer translation.,needs_review
common.yes,yes,ano,da,Target intentionally blank for reviewer translation.,needs_review
common.no,no,ne,ne,Target intentionally blank for reviewer translation.,needs_review
app.heroTitle,Digital VETcert examination system,Digitální zkušební systém VETcert,Digital VETcert examination system,Target intentionally blank for reviewer translation.,needs_review
app.dedicatedPortal,Dedicated {role} portal,Vyhrazený portál: {role},Namjenski {role} portal,Preserve placeholder(s) exactly: {role}.,needs_review
workspace.current,Current workspace,Aktuální pracovní prostor,Current workspace,Target intentionally blank for reviewer translation.,needs_review
